fecha,est_llam_netas,tot_llam_netas,vtas_movil_tw,vtas_fijo_tw,vtas_movil_web,vtas_fijo_web,sheet
2020-03-01,"1070,0","1359,0","1,0","74,0","0,0","8,0",Teleweb Residencial
2020-03-02,"4787,0","4633,0","262,0","337,0","32,0","56,0",Teleweb Residencial
2020-03-03,"4598,0","4238,0","340,0","320,0","28,0","29,0",Teleweb Residencial
2020-03-04,"4212,0","4094,0","385,0","257,0","38,0","38,0",Teleweb Residencial
2020-03-05,"3602,0","3775,0","329,0","289,0","40,0","50,0",Teleweb Residencial
2020-03-06,"3144,0","3319,0","367,0","240,0","37,0","23,0",Teleweb Residencial
2020-03-07,"1719,0","1600,0","14,0","106,0","0,0","16,0",Teleweb Residencial
2020-03-08,"1092,0","908,0","2,0","66,0","0,0","7,0",Teleweb Residencial
2020-03-09,"4928,0","3936,0","318,0","278,0","42,0","22,0",Teleweb Residencial
2020-03-10,"4733,0","3809,0","392,0","271,0","42,0","37,0",Teleweb Residencial
2020-03-11,"4336,0","3722,0","431,0","246,0","44,0","45,0",Teleweb Residencial
2020-03-12,"3708,0","3655,0","384,0","278,0","41,0","56,0",Teleweb Residencial
2020-03-13,"3237,0","3542,0","358,0","251,0","43,0","54,0",Teleweb Residencial
2020-03-14,"1770,0","2037,0","5,0","158,0","2,0","17,0",Teleweb Residencial
2020-03-15,"1124,0","1454,0","0,0","111,0","0,0","10,0",Teleweb Residencial
2020-03-16,"4693,0","4456,0","255,0","361,0","30,0","51,0",Teleweb Residencial
2020-03-17,"4508,0","4009,0","306,0","324,0","56,0","46,0",Teleweb Residencial
2020-03-18,"4130,0","3540,0","289,0","252,0","55,0","40,0",Teleweb Residencial
2020-03-19,"3531,0","2242,0","250,0","211,0","43,0","30,0",Teleweb Residencial
2020-03-20,"3082,0","2619,0","360,0","195,0","75,0","22,0",Teleweb Residencial
2020-03-21,"1686,0","978,0","1,0","62,0","0,0","8,0",Teleweb Residencial
2020-03-22,"1070,0","672,0","0,0","47,0","0,0","8,0",Teleweb Residencial
2020-03-23,"4553,0","1738,0","144,0","162,0","38,0","34,0",Teleweb Residencial
2020-03-24,"4373,0","1222,0","145,0","99,0","66,0","29,0",Teleweb Residencial
2020-03-25,"4006,0","1582,0","134,0","121,0","35,0","26,0",Teleweb Residencial
2020-03-26,"3425,0","0,0","0,0","0,0","0,0","0,0",Teleweb Residencial
2020-03-27,"2990,0","0,0","0,0","0,0","0,0","0,0",Teleweb Residencial
2020-03-28,"1635,0","0,0","0,0","0,0","0,0","0,0",Teleweb Residencial
2020-03-29,"1038,0","0,0","0,0","0,0","0,0","0,0",Teleweb Residencial
2020-03-30,"4693,0","0,0","0,0","0,0","0,0","0,0",Teleweb Residencial
2020-03-31,"4508,0","0,0","0,0","0,0","0,0","0,0",Teleweb Residencial
2020-03-01,"0,0","0,0","0,0","0,0","0,0","0,0",Teleweb Empresas
2020-03-02,"380,0","361,0","12,0","35,0","0,0","5,0",Teleweb Empresas
2020-03-03,"350,0","410,0","13,0","34,0","0,0","1,0",Teleweb Empresas
2020-03-04,"351,0","321,0","14,0","35,0","0,0","0,0",Teleweb Empresas
2020-03-05,"302,0","352,0","20,0","52,0","0,0","0,0",Teleweb Empresas
2020-03-06,"249,0","236,0","41,0","21,0","0,0","4,0",Teleweb Empresas
2020-03-07,"0,0","0,0","1,0","0,0","0,0","0,0",Teleweb Empresas
2020-03-08,"0,0","0,0","0,0","0,0","0,0","0,0",Teleweb Empresas
2020-03-09,"391,0","343,0","19,0","31,0","1,0","1,0",Teleweb Empresas
2020-03-10,"361,0","306,0","29,0","37,0","1,0","2,0",Teleweb Empresas
2020-03-11,"361,0","333,0","37,0","35,0","1,0","3,0",Teleweb Empresas
2020-03-12,"311,0","288,0","25,0","47,0","2,0","3,0",Teleweb Empresas
2020-03-13,"256,0","212,0","24,0","21,0","1,0","2,0",Teleweb Empresas
2020-03-14,"0,0","0,0","1,0","1,0","0,0","0,0",Teleweb Empresas
2020-03-15,"0,0","0,0","0,0","0,0","0,0","0,0",Teleweb Empresas
2020-03-16,"373,0","267,0","30,0","21,0","1,0","1,0",Teleweb Empresas
2020-03-17,"343,0","228,0","28,0","25,0","0,0","0,0",Teleweb Empresas
2020-03-18,"344,0","196,0","12,0","19,0","1,0","0,0",Teleweb Empresas
2020-03-19,"296,0","115,0","23,0","10,0","0,0","1,0",Teleweb Empresas
2020-03-20,"244,0","161,0","19,0","5,0","1,0","0,0",Teleweb Empresas
2020-03-21,"0,0","0,0","0,0","0,0","0,0","0,0",Teleweb Empresas
2020-03-22,"0,0","0,0","0,0","0,0","0,0","0,0",Teleweb Empresas
2020-03-23,"362,0","177,0","23,0","15,0","3,0","1,0",Teleweb Empresas
2020-03-24,"333,0","77,0","11,0","12,0","1,0","1,0",Teleweb Empresas
2020-03-25,"334,0","95,0","7,0","5,0","3,0","2,0",Teleweb Empresas
2020-03-26,"287,0","0,0","0,0","0,0","0,0","0,0",Teleweb Empresas
2020-03-27,"237,0","0,0","0,0","0,0","0,0","0,0",Teleweb Empresas
2020-03-28,"0,0","0,0","0,0","0,0","0,0","0,0",Teleweb Empresas
2020-03-29,"0,0","0,0","0,0","0,0","0,0","0,0",Teleweb Empresas
2020-03-30,"373,0","0,0","0,0","0,0","0,0","0,0",Teleweb Empresas
2020-03-31,"343,0","0,0","0,0","0,0","0,0","0,0",Teleweb Empresas
